Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-03-09 09:30:00-04:00,666.3900146484375,667.6300048828125,662.3900146484375,664.0599975585938,21505293,0.0,0.0,0.0
2026-03-09 10:30:00-04:00,664.030029296875,669.9199829101562,663.97998046875,669.77001953125,11546091,0.0,0.0,0.0
2026-03-09 11:30:00-04:00,669.77001953125,671.5999755859375,668.3699951171875,670.8699951171875,8868302,0.0,0.0,0.0
2026-03-09 12:30:00-04:00,670.8699951171875,672.25,668.7100219726562,668.844970703125,8907547,0.0,0.0,0.0
2026-03-09 13:30:00-04:00,668.8400268554688,670.8699951171875,668.0900268554688,670.0599975585938,8192624,0.0,0.0,0.0
2026-03-09 14:30:00-04:00,670.0599975585938,677.5150146484375,669.9000244140625,677.3900146484375,16903181,0.0,0.0,0.0
2026-03-09 15:30:00-04:00,677.3699951171875,679.9199829101562,675.8800048828125,678.2999877929688,16099713,0.0,0.0,0.0
2026-03-10 09:30:00-04:00,677.719970703125,678.7849731445312,674.760009765625,677.6199951171875,14084370,0.0,0.0,0.0
2026-03-10 10:30:00-04:00,677.6400146484375,681.6849975585938,677.6300048828125,681.1099853515625,9403537,0.0,0.0,0.0
2026-03-10 11:30:00-04:00,681.0999755859375,681.9498901367188,679.6799926757812,680.5999755859375,7262968,0.0,0.0,0.0
2026-03-10 12:30:00-04:00,680.6099853515625,683.3599853515625,680.6099853515625,683.2650146484375,9090930,0.0,0.0,0.0
2026-03-10 13:30:00-04:00,683.25,683.25,677.3800048828125,679.3499755859375,15209801,0.0,0.0,0.0
2026-03-10 14:30:00-04:00,679.3150024414062,680.3699951171875,677.4099731445312,677.4099731445312,9507897,0.0,0.0,0.0
2026-03-10 15:30:00-04:00,677.4199829101562,678.3200073242188,676.22998046875,677.0499877929688,10409992,0.0,0.0,0.0
2026-03-11 09:30:00-04:00,677.5800170898438,680.0800170898438,675.1950073242188,676.1500244140625,14729721,0.0,0.0,0.0
2026-03-11 10:30:00-04:00,676.1400146484375,678.6400146484375,674.5900268554688,674.6699829101562,8480186,0.0,0.0,0.0
2026-03-11 11:30:00-04:00,674.6799926757812,675.2899780273438,673.510009765625,674.7050170898438,7579835,0.0,0.0,0.0
2026-03-11 12:30:00-04:00,674.7000122070312,676.77001953125,674.6500244140625,676.4600219726562,5597839,0.0,0.0,0.0
2026-03-11 13:30:00-04:00,676.469970703125,676.639892578125,673.3400268554688,675.27001953125,8581233,0.0,0.0,0.0
2026-03-11 14:30:00-04:00,675.27001953125,675.7899780273438,674.3200073242188,674.9749755859375,8042124,0.0,0.0,0.0
2026-03-11 15:30:00-04:00,674.989990234375,676.5999755859375,674.75,676.3300170898438,7671647,0.0,0.0,0.0
2026-03-12 09:30:00-04:00,671.1599731445312,671.6500244140625,668.0499877929688,668.0599975585938,20460497,0.0,0.0,0.0
2026-03-12 10:30:00-04:00,668.0599975585938,670.5499877929688,666.9199829101562,668.1699829101562,13622450,0.0,0.0,0.0
2026-03-12 11:30:00-04:00,668.1699829101562,671.3099975585938,667.239990234375,668.8400268554688,14853739,0.0,0.0,0.0
2026-03-12 12:30:00-04:00,668.77001953125,670.3098754882812,667.989990234375,668.5599975585938,8622337,0.0,0.0,0.0
2026-03-12 13:30:00-04:00,668.5599975585938,669.75,667.2700805664062,668.1900024414062,9816196,0.0,0.0,0.0
2026-03-12 14:30:00-04:00,668.1799926757812,668.47998046875,666.8699951171875,667.97998046875,13026038,0.0,0.0,0.0
2026-03-12 15:30:00-04:00,667.989990234375,668.6500244140625,665.905029296875,666.0399780273438,12771977,0.0,0.0,0.0
2026-03-13 09:30:00-04:00,669.27001953125,672.3350219726562,667.72998046875,668.840087890625,18217959,0.0,0.0,0.0
2026-03-13 10:30:00-04:00,668.8699951171875,670.22998046875,664.4299926757812,664.5900268554688,13817201,0.0,0.0,0.0
2026-03-13 11:30:00-04:00,664.5700073242188,665.3300170898438,663.0999755859375,664.3300170898438,10913129,0.0,0.0,0.0
2026-03-13 12:30:00-04:00,664.3200073242188,665.22998046875,663.1300048828125,664.3699951171875,8757536,0.0,0.0,0.0
2026-03-13 13:30:00-04:00,664.3499755859375,664.52001953125,662.0800170898438,663.3400268554688,9439940,0.0,0.0,0.0
2026-03-13 14:30:00-04:00,663.3300170898438,664.8099975585938,662.1599731445312,662.3699951171875,9503155,0.0,0.0,0.0
2026-03-13 15:30:00-04:00,662.3699951171875,663.0,661.3599853515625,662.2999877929688,11375885,0.0,0.0,0.0
